"","H","L","S","B","n","C"
"131",1,0.3,40,2,4,0.173913043478261
"132",2,0.3,40,2,4,0.608695652173913
"133",1,0.4,40,2,4,0.269230769230769
"134",2,0.4,40,2,4,0.5
"135",1,0.5,40,2,4,0.291666666666667
"136",2,0.5,40,2,4,0.333333333333333
"137",1,0.6,40,2,4,0.192307692307692
"138",2,0.6,40,2,4,0.653846153846154
"139",1,0.7,40,2,4,1.96774193548387
"140",2,0.7,40,2,4,1.61290322580645
"141",1,0.8,40,2,4,1.64864864864865
"142",2,0.8,40,2,4,2.7027027027027
"143",1,0.9,40,2,4,1.90384615384615
"144",2,0.9,40,2,4,1.84615384615385
"145",1,0.1,40,1,5,0.25
"146",2,0.1,40,1,5,0
"147",1,0.2,40,1,5,0.125
"148",2,0.2,40,1,5,0
"149",1,0.3,40,1,5,0.384615384615385
"150",2,0.3,40,1,5,0.538461538461538
"151",1,0.4,40,1,5,0.5625
"152",2,0.4,40,1,5,0.1875
"153",1,0.5,40,1,5,0.304347826086957
"154",2,0.5,40,1,5,0.521739130434783
"155",1,0.6,40,1,5,1.89285714285714
"156",2,0.6,40,1,5,0.785714285714286
"157",1,0.7,40,1,5,1.10810810810811
"158",2,0.7,40,1,5,1.10810810810811
"159",1,0.8,40,1,5,2.25
"160",2,0.8,40,1,5,0.863636363636364
"161",1,0.9,40,1,5,2.10869565217391
"162",2,0.9,40,1,5,1.26086956521739
"163",1,0.1,40,2,5,0
"164",2,0.1,40,2,5,0
"165",1,0.2,40,2,5,0.125
"166",2,0.2,40,2,5,0.25
"167",1,0.3,40,2,5,0.1
"168",2,0.3,40,2,5,0.55
"169",1,0.4,40,2,5,0.111111111111111
"170",2,0.4,40,2,5,0.222222222222222
"171",1,0.5,40,2,5,0.428571428571429
"172",2,0.5,40,2,5,0.80952380952381
"173",1,0.6,40,2,5,0.96
"174",2,0.6,40,2,5,1.92
"175",1,0.7,40,2,5,0.863636363636364
"176",2,0.7,40,2,5,0.772727272727273
"177",1,0.8,40,2,5,0.911111111111111
"178",2,0.8,40,2,5,0.755555555555556
"179",1,0.9,40,2,5,1.91489361702128
"180",2,0.9,40,2,5,2.72340425531915
"181",1,0.1,40,1,6,0.25
"182",2,0.1,40,1,6,0
"183",1,0.2,40,1,6,0.125
"184",2,0.2,40,1,6,0
"185",1,0.3,40,1,6,0.538461538461538
"186",2,0.3,40,1,6,0
"187",1,0.4,40,1,6,0.117647058823529
"188",2,0.4,40,1,6,0.588235294117647
"189",1,0.5,40,1,6,0.5
"190",2,0.5,40,1,6,0.333333333333333
"191",1,0.6,40,1,6,1.4
"192",2,0.6,40,1,6,0.8
"193",1,0.7,40,1,6,1.45945945945946
"194",2,0.7,40,1,6,0.891891891891892
"195",1,0.8,40,1,6,1.33333333333333
"196",2,0.8,40,1,6,0.743589743589744
"197",1,0.9,40,1,6,2.53658536585366
"198",2,0.9,40,1,6,1.73170731707317
"199",1,0.1,40,2,6,0
"200",2,0.1,40,2,6,0
"201",1,0.2,40,2,6,0.181818181818182
"202",2,0.2,40,2,6,0.363636363636364
"203",1,0.3,40,2,6,0.133333333333333
"204",2,0.3,40,2,6,0.2
"205",1,0.4,40,2,6,0.0625
"206",2,0.4,40,2,6,0.6875
"207",1,0.5,40,2,6,0.619047619047619
"208",2,0.5,40,2,6,1
"209",1,0.6,40,2,6,0.540540540540541
"210",2,0.6,40,2,6,0.324324324324324
"211",1,0.7,40,2,6,0.484848484848485
"212",2,0.7,40,2,6,1.12121212121212
"213",1,0.8,40,2,6,2.24390243902439
"214",2,0.8,40,2,6,1.51219512195122
"215",1,0.9,40,2,6,2.37777777777778
"216",2,0.9,40,2,6,1.11111111111111
"217",1,0.1,40,1,7,0
"218",2,0.1,40,1,7,0
"219",1,0.2,40,1,7,0.25
"220",2,0.2,40,1,7,0.375
"221",1,0.3,40,1,7,0.214285714285714
"222",2,0.3,40,1,7,0.214285714285714
"223",1,0.4,40,1,7,0.235294117647059
"224",2,0.4,40,1,7,0.411764705882353
"225",1,0.5,40,1,7,1.04166666666667
"226",2,0.5,40,1,7,0.333333333333333
"227",1,0.6,40,1,7,1.41379310344828
"228",2,0.6,40,1,7,0.827586206896552
"229",1,0.7,40,1,7,1
"230",2,0.7,40,1,7,0.454545454545455
"231",1,0.8,40,1,7,1.33333333333333
"232",2,0.8,40,1,7,1.27777777777778
"233",1,0.9,40,1,7,3
"234",2,0.9,40,1,7,1.55
"235",1,0.1,40,2,7,0
"236",2,0.1,40,2,7,0
"237",1,0.2,40,2,7,0.166666666666667
"238",2,0.2,40,2,7,0.333333333333333
"239",1,0.3,40,2,7,0.153846153846154
"240",2,0.3,40,2,7,0.384615384615385
"241",1,0.4,40,2,7,0.470588235294118
"242",2,0.4,40,2,7,0.823529411764706
"243",1,0.5,40,2,7,0.516129032258065
"244",2,0.5,40,2,7,0.225806451612903
"245",1,0.6,40,2,7,0.285714285714286
"246",2,0.6,40,2,7,0.75
"247",1,0.7,40,2,7,1.41666666666667
"248",2,0.7,40,2,7,0.583333333333333
"249",1,0.8,40,2,7,1.54761904761905
"250",2,0.8,40,2,7,1.45238095238095
"251",1,0.9,40,2,7,1.96428571428571
"252",2,0.9,40,2,7,2.39285714285714
"253",1,0.1,40,1,8,0
"254",2,0.1,40,1,8,0
"255",1,0.2,40,1,8,0.111111111111111
"256",2,0.2,40,1,8,0.222222222222222
"257",1,0.3,40,1,8,0.153846153846154
"258",2,0.3,40,1,8,0.615384615384615
"259",1,0.4,40,1,8,1.11111111111111
"260",2,0.4,40,1,8,0.333333333333333
"261",1,0.5,40,1,8,1.19230769230769
"262",2,0.5,40,1,8,0.653846153846154
"263",1,0.6,40,1,8,0.785714285714286
"264",2,0.6,40,1,8,0.142857142857143
"265",1,0.7,40,1,8,1.44117647058824
"266",2,0.7,40,1,8,1.55882352941176
"267",1,0.8,40,1,8,2.02777777777778
"268",2,0.8,40,1,8,1.05555555555556
"269",1,0.9,40,1,8,1.575
"270",2,0.9,40,1,8,0.975
"271",1,0.1,40,2,8,0
"272",2,0.1,40,2,8,0
"273",1,0.2,40,2,8,0.0909090909090909
"274",2,0.2,40,2,8,0
"275",1,0.3,40,2,8,0.285714285714286
"276",2,0.3,40,2,8,0.285714285714286
"277",1,0.4,40,2,8,0.25
"278",2,0.4,40,2,8,0.1
"279",1,0.5,40,2,8,0.307692307692308
"280",2,0.5,40,2,8,0.615384615384615
"281",1,0.6,40,2,8,1
"282",2,0.6,40,2,8,0.645161290322581
"283",1,0.7,40,2,8,1.05405405405405
"284",2,0.7,40,2,8,0.702702702702703
"285",1,0.8,40,2,8,1.38
"286",2,0.8,40,2,8,1.3
"287",1,0.9,40,2,8,1.6078431372549
"288",2,0.9,40,2,8,1.90196078431373
"289",1,0.1,40,1,9,0
"290",2,0.1,40,1,9,0
"291",1,0.2,40,1,9,0.25
"292",2,0.2,40,1,9,0
"293",1,0.3,40,1,9,0.533333333333333
"294",2,0.3,40,1,9,0
"295",1,0.4,40,1,9,0.5
"296",2,0.4,40,1,9,0.4
"297",1,0.5,40,1,9,0.409090909090909
"298",2,0.5,40,1,9,0.5
"299",1,0.6,40,1,9,0.769230769230769
"300",2,0.6,40,1,9,0.615384615384615
"301",1,0.7,40,1,9,2.06896551724138
"302",2,0.7,40,1,9,1
"303",1,0.8,40,1,9,1.58333333333333
"304",2,0.8,40,1,9,0.444444444444444
"305",1,0.9,40,1,9,2.52272727272727
"306",2,0.9,40,1,9,0.977272727272727
"307",1,0.1,40,2,9,0.25
"308",2,0.1,40,2,9,0
"309",1,0.2,40,2,9,0
"310",2,0.2,40,2,9,0.111111111111111
"311",1,0.3,40,2,9,0.0714285714285714
"312",2,0.3,40,2,9,0.571428571428571
"313",1,0.4,40,2,9,0.32
"314",2,0.4,40,2,9,0.08
"315",1,0.5,40,2,9,0.583333333333333
"316",2,0.5,40,2,9,1.375
"317",1,0.6,40,2,9,1.1
"318",2,0.6,40,2,9,0.3
"319",1,0.7,40,2,9,0.931818181818182
"320",2,0.7,40,2,9,0.613636363636364
"321",1,0.8,40,2,9,1.34042553191489
"322",2,0.8,40,2,9,1.06382978723404
"323",1,0.9,40,2,9,1.82222222222222
"324",2,0.9,40,2,9,0.933333333333333
"325",1,0.1,40,1,10,0
"326",2,0.1,40,1,10,0
"327",1,0.2,40,1,10,0.375
"328",2,0.2,40,1,10,0
"329",1,0.3,40,1,10,0.733333333333333
"330",2,0.3,40,1,10,0.266666666666667
"331",1,0.4,40,1,10,1.21052631578947
"332",2,0.4,40,1,10,0.526315789473684
"333",1,0.5,40,1,10,1.28571428571429
"334",2,0.5,40,1,10,0.142857142857143
"335",1,0.6,40,1,10,1.28571428571429
"336",2,0.6,40,1,10,0.464285714285714
"337",1,0.7,40,1,10,1.59375
"338",2,0.7,40,1,10,0.375
"339",1,0.8,40,1,10,1.25
"340",2,0.8,40,1,10,0.675
"341",1,0.9,40,1,10,1.42857142857143
"342",2,0.9,40,1,10,2.71428571428571
"343",1,0.1,40,2,10,0
"344",2,0.1,40,2,10,0.25
"345",1,0.2,40,2,10,0
"346",2,0.2,40,2,10,0.125
"347",1,0.3,40,2,10,0.333333333333333
"348",2,0.3,40,2,10,0.166666666666667
"349",1,0.4,40,2,10,0.315789473684211
"350",2,0.4,40,2,10,0.631578947368421
